# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# STN,YYYYMMDD,   TG
  279,20230628,  164
  279,20230629,  192
  279,20230630,  179
  279,20230701,  171
  279,20230702,  166
  279,20230703,  163
  279,20230704,  159
  279,20230705,  141
  279,20230706,  160
  279,20230707,  197
  279,20230708,  237
  279,20230709,  227
  279,20230710,  198
  279,20230711,  220
  279,20230712,  182
  279,20230713,  170
  279,20230714,  183
  279,20230715,  212
  279,20230716,  183
  279,20230717,  168
  279,20230718,  177
  279,20230719,  170
  279,20230720,  157
  279,20230721,  151
  279,20230722,  144
  279,20230723,  173
  279,20230724,  169
  279,20230725,  147
  279,20230726,  147
  279,20230727,  164
  279,20230728,  199
  279,20230729,  179
  279,20230730,  168
  279,20230731,  170
  279,20230801,  158
  279,20230802,  166
  279,20230803,  177
  279,20230804,  158
  279,20230805,  148
  279,20230806,  155
  279,20230807,  144
  279,20230808,  148
  279,20230809,  152
  279,20230810,  163
  279,20230811,  202
  279,20230812,  187
  279,20230813,  176
  279,20230814,  187
  279,20230815,  183
  279,20230816,  171
  279,20230817,  171
  279,20230818,  199
  279,20230819,  204
  279,20230820,  185
  279,20230821,  184
  279,20230822,  185
  279,20230823,  182
  279,20230824,  197
  279,20230825,  191
  279,20230826,  158
  279,20230827,  139
  279,20230828,  150
  279,20230829,  140
  279,20230830,  130
  279,20230831,  134
  279,20230901,  141
  279,20230902,  158
  279,20230903,  153
  279,20230904,  167
  279,20230905,  201
  279,20230906,  213
  279,20230907,  217
  279,20230908,  210
  279,20230909,  202
  279,20230910,  210
  279,20230911,  216
  279,20230912,  193
  279,20230913,  146
  279,20230914,  127
  279,20230915,  138
  279,20230916,  166
  279,20230917,  170
  279,20230918,  184
  279,20230919,  159
  279,20230920,  182
  279,20230921,  160
  279,20230922,  143
  279,20230923,  131
  279,20230924,  137
  279,20230925,  154
  279,20230926,  151
  279,20230927,  166
  279,20230928,  169
  279,20230929,  159
  279,20230930,  145
  279,20231001,  169
  279,20231002,  179
  279,20231003,  153
  279,20231004,  139
  279,20231005,  147
  279,20231006,  159
  279,20231007,  175
  279,20231008,  137
  279,20231009,  161
  279,20231010,  171
  279,20231011,  170
  279,20231012,  133
  279,20231013,  174
  279,20231014,  101
  279,20231015,   72
  279,20231016,   85
  279,20231017,   67
  279,20231018,   78
  279,20231019,  100
  279,20231020,   82
  279,20231021,  132
  279,20231022,  110
  279,20231023,   85
  279,20231024,  112
  279,20231025,   95
  279,20231026,   98
  279,20231027,   96
  279,20231028,  108
  279,20231029,  125
  279,20231030,  114
  279,20231031,  103
  279,20231101,  118
  279,20231102,  114
  279,20231103,   93
  279,20231104,   90
  279,20231105,   99
  279,20231106,   96
  279,20231107,   89
  279,20231108,   90
  279,20231109,   93
  279,20231110,   75
  279,20231111,   63
  279,20231112,   53
  279,20231113,   82
  279,20231114,  113
  279,20231115,   94
  279,20231116,   50
  279,20231117,   31
  279,20231118,   57
  279,20231119,  116
  279,20231120,   98
  279,20231121,   69
  279,20231122,   33
  279,20231123,  108
  279,20231124,   45
  279,20231125,   41
  279,20231126,   48
  279,20231127,   31
  279,20231128,   10
  279,20231129,    9
  279,20231130,    1
  279,20231201,  -21
  279,20231202,   -5
  279,20231203,    7
  279,20231204,    8
  279,20231205,    1
  279,20231206,   19
  279,20231207,    4
  279,20231208,   33
  279,20231209,   77
  279,20231210,   84
  279,20231211,   80
  279,20231212,   56
  279,20231213,   70
  279,20231214,   45
  279,20231215,   70
  279,20231216,   77
  279,20231217,   86
  279,20231218,   77
  279,20231219,   75
  279,20231220,   73
  279,20231221,   86
  279,20231222,   64
  279,20231223,   86
  279,20231224,  113
  279,20231225,  105
  279,20231226,   70
  279,20231227,   53
  279,20231228,  104
  279,20231229,   87
  279,20231230,   69
  279,20231231,   82
